serialCode,isWinner,prizeId
T248-3692,false,
N091-9219,false,
W749-1212,false,
Y077-0485,false,
H224-1702,false,
F193-7100,false,
D028-6399,false,
H000-4601,false,
A941-8563,false,
U104-6729,false,
F852-3133,false,
T937-3941,false,
U648-7134,false,
G708-0030,false,
R193-2503,false,
K413-9424,false,
J390-5045,false,
E309-3841,false,
J187-6667,false,
A646-6707,false,
K893-9639,true,1
F248-9907,false,
H704-1218,false,
E208-9857,false,
T114-1622,false,
A465-2401,false,
N919-1432,false,
X963-7122,false,
D942-4693,false,
R958-6811,false,
N972-9317,false,
A701-5227,false,
G379-5409,false,
D717-3574,false,
T626-8876,false,
R654-7204,true,3
X417-5595,false,
R777-4903,false,
K855-0371,false,
R869-7090,false,
V594-6589,false,
G947-6167,false,
H592-2758,false,
N589-3229,false,
Y009-4411,false,
A767-1556,false,
X884-0404,false,
X828-8249,false,
P914-0449,false,
X711-5776,false,
X813-6211,false,
W308-4577,false,
K573-1918,false,
M535-0998,false,
W561-7013,false,
M679-8377,false,
G834-3981,false,
E819-5636,false,
Y388-1742,false,
R239-3108,false,
A215-5600,false,
D400-4033,false,
J094-4501,false,
M492-2033,false,
F271-5798,false,
N796-2398,false,
A236-7235,false,
F424-6338,false,
V837-6045,false,
E268-7082,false,
L832-8120,false,
R632-5503,false,
R798-2510,false,
H657-0174,false,
G220-6239,false,
C922-3489,false,
Y655-0924,false,
D721-6240,false,
G577-8610,false,
M513-2318,false,
N984-3095,false,
C469-2343,false,
E180-3823,false,
V516-2218,true,3
F305-6158,false,
U446-3563,false,
N995-5049,false,
K546-3407,false,
R655-6060,false,
A123-6705,false,
H160-5286,false,
G366-4380,false,
J414-6656,false,
C818-5342,false,
E064-1520,false,
W025-3865,false,
M526-9476,true,1
R105-5422,false,
U390-8666,false,
Y338-1491,false,
V650-3197,true,2
M466-9789,false,
R330-4095,false,
D512-3978,false,
R663-3793,false,
P164-9805,false,
R143-5875,false,
K220-8218,false,
M716-5990,false,
E489-6173,false,
U473-7538,false,
E825-2233,false,
R835-5818,true,3
L427-3001,false,
E865-6313,false,
J758-2907,false,
J839-9511,false,
X427-2096,false,
D697-3497,false,
L539-9693,false,
V128-0645,false,
U305-4590,false,
W097-9561,false,
D834-3269,false,
C764-1503,false,
N879-6612,true,2
Y226-1723,false,
Y912-9024,false,
L179-3692,false,
W376-6220,false,
N277-5439,false,
U010-1465,false,
W421-8423,false,
V527-8784,false,
W081-1328,false,
J639-5775,false,
X961-4663,false,
D335-1736,false,
A004-4335,false,
A778-1611,false,
R122-1955,false,
M292-6378,false,
E904-6506,false,
K458-0200,false,
C398-4679,false,
D138-2304,false,
H843-6256,false,
L936-1845,false,
T321-2801,false,
L563-8661,false,
H622-7301,false,
G906-0656,false,
