Index,SerialCode,PrizeId,PrizeName
1,X934-0362,1,"JBL Speaker"
2,M541-5457,2,"Kenz Card 2K EGP Gift Voucher"
3,K784-4830,2,"Kenz Card 2K EGP Gift Voucher"
4,E489-8642,3,"Mother Naked Hot Girl Bundle"
5,X126-8585,3,"Mother Naked Hot Girl Bundle"
6,X151-1224,3,"Mother Naked Hot Girl Bundle"
7,A927-4772,4,"Spin The Wheel at the branch"
8,A055-0551,4,"Spin The Wheel at the branch"
9,Y269-7627,4,"Spin The Wheel at the branch"
10,R707-3859,4,"Spin The Wheel at the branch"
11,C742-2446,4,"Spin The Wheel at the branch"
12,Y149-2901,4,"Spin The Wheel at the branch"
13,R911-1984,4,"Spin The Wheel at the branch"
14,Y141-1465,4,"Spin The Wheel at the branch"
15,M693-7586,4,"Spin The Wheel at the branch"
16,J809-9173,4,"Spin The Wheel at the branch"
17,U516-7402,4,"Spin The Wheel at the branch"
18,P666-1702,4,"Spin The Wheel at the branch"
19,J491-5551,4,"Spin The Wheel at the branch"
20,E165-4817,4,"Spin The Wheel at the branch"
21,U779-7645,4,"Spin The Wheel at the branch"
22,W448-8651,4,"Spin The Wheel at the branch"
23,H735-3211,4,"Spin The Wheel at the branch"
24,P818-1114,4,"Spin The Wheel at the branch"
25,M394-5745,4,"Spin The Wheel at the branch"
26,R365-5199,4,"Spin The Wheel at the branch"
27,E919-8192,4,"Spin The Wheel at the branch"
28,G829-3875,4,"Spin The Wheel at the branch"
29,V590-7597,4,"Spin The Wheel at the branch"
30,E921-1932,4,"Spin The Wheel at the branch"
31,W831-7699,4,"Spin The Wheel at the branch"
32,U610-8483,4,"Spin The Wheel at the branch"
33,N839-4937,4,"Spin The Wheel at the branch"
34,K769-4405,4,"Spin The Wheel at the branch"
35,N925-0776,4,"Spin The Wheel at the branch"
36,Y464-0779,4,"Spin The Wheel at the branch"
37,D398-9286,4,"Spin The Wheel at the branch"
38,W228-4497,4,"Spin The Wheel at the branch"
39,C095-4982,4,"Spin The Wheel at the branch"
40,T640-3242,4,"Spin The Wheel at the branch"
41,W080-0125,4,"Spin The Wheel at the branch"
42,U780-7401,4,"Spin The Wheel at the branch"
43,Y341-3557,4,"Spin The Wheel at the branch"
44,N192-5479,4,"Spin The Wheel at the branch"
45,C804-4783,4,"Spin The Wheel at the branch"
46,J532-0296,4,"Spin The Wheel at the branch"
47,G981-7745,4,"Spin The Wheel at the branch"
48,D248-1701,4,"Spin The Wheel at the branch"
49,P476-3720,4,"Spin The Wheel at the branch"
50,E829-2845,4,"Spin The Wheel at the branch"
51,R910-6815,4,"Spin The Wheel at the branch"
52,M020-2912,4,"Spin The Wheel at the branch"
53,C923-0795,4,"Spin The Wheel at the branch"
54,X808-4990,4,"Spin The Wheel at the branch"
55,W384-7138,4,"Spin The Wheel at the branch"
56,V982-5607,4,"Spin The Wheel at the branch"
57,M763-2659,4,"Spin The Wheel at the branch"
58,N680-5641,4,"Spin The Wheel at the branch"
59,H840-4034,4,"Spin The Wheel at the branch"
60,E863-1587,4,"Spin The Wheel at the branch"
61,K587-9316,4,"Spin The Wheel at the branch"
62,X617-7910,4,"Spin The Wheel at the branch"
63,E947-7696,4,"Spin The Wheel at the branch"
64,H692-7592,4,"Spin The Wheel at the branch"
65,F361-8076,4,"Spin The Wheel at the branch"
66,X579-0958,4,"Spin The Wheel at the branch"
67,X805-4637,4,"Spin The Wheel at the branch"
68,V267-3615,4,"Spin The Wheel at the branch"
69,K772-3866,4,"Spin The Wheel at the branch"
70,Y891-2169,4,"Spin The Wheel at the branch"
71,K600-3946,4,"Spin The Wheel at the branch"
72,A752-8639,4,"Spin The Wheel at the branch"
73,T508-2133,4,"Spin The Wheel at the branch"
74,Y669-1336,4,"Spin The Wheel at the branch"
75,W734-3495,4,"Spin The Wheel at the branch"
76,A695-7396,4,"Spin The Wheel at the branch"
77,N704-2644,4,"Spin The Wheel at the branch"
78,C711-5987,4,"Spin The Wheel at the branch"
79,C951-1355,4,"Spin The Wheel at the branch"
80,C377-3881,4,"Spin The Wheel at the branch"
81,X025-5424,4,"Spin The Wheel at the branch"
82,W320-8362,4,"Spin The Wheel at the branch"
83,V951-8767,4,"Spin The Wheel at the branch"
84,C002-6790,4,"Spin The Wheel at the branch"
85,E966-6688,4,"Spin The Wheel at the branch"
86,U576-0682,4,"Spin The Wheel at the branch"
87,V715-7883,4,"Spin The Wheel at the branch"
88,Y751-1020,4,"Spin The Wheel at the branch"
89,H183-1026,4,"Spin The Wheel at the branch"
90,E109-3969,4,"Spin The Wheel at the branch"
91,Y726-9372,4,"Spin The Wheel at the branch"
92,E113-3672,4,"Spin The Wheel at the branch"
93,T667-5661,4,"Spin The Wheel at the branch"
94,P162-7261,4,"Spin The Wheel at the branch"
95,U220-7653,4,"Spin The Wheel at the branch"
96,W400-6465,4,"Spin The Wheel at the branch"
97,P939-6005,4,"Spin The Wheel at the branch"
98,J037-2958,4,"Spin The Wheel at the branch"
99,G383-2272,4,"Spin The Wheel at the branch"
100,W850-5630,4,"Spin The Wheel at the branch"
101,M578-7318,4,"Spin The Wheel at the branch"
102,Y241-6123,4,"Spin The Wheel at the branch"
103,J008-0769,4,"Spin The Wheel at the branch"
104,M701-0889,4,"Spin The Wheel at the branch"
105,C229-9863,4,"Spin The Wheel at the branch"
106,U591-4901,4,"Spin The Wheel at the branch"
107,H997-7057,4,"Spin The Wheel at the branch"
108,M835-0451,4,"Spin The Wheel at the branch"
109,E553-3983,4,"Spin The Wheel at the branch"
110,C513-8620,4,"Spin The Wheel at the branch"
111,N599-9645,4,"Spin The Wheel at the branch"
112,A246-7852,4,"Spin The Wheel at the branch"
113,R295-3966,4,"Spin The Wheel at the branch"
114,P610-7730,4,"Spin The Wheel at the branch"
115,Y617-3409,4,"Spin The Wheel at the branch"
116,E466-8606,4,"Spin The Wheel at the branch"
117,J452-4657,4,"Spin The Wheel at the branch"
118,U549-9219,4,"Spin The Wheel at the branch"
119,F884-0762,4,"Spin The Wheel at the branch"
120,J882-1848,4,"Spin The Wheel at the branch"
