serialCode,prizeId,prizeLabel
K893-9639,1,"50% Off Discount Coupon"
M526-9476,1,"50% Off Discount Coupon"
F171-9162,1,"50% Off Discount Coupon"
W389-1284,1,"50% Off Discount Coupon"
C184-1404,1,"50% Off Discount Coupon"
K490-7447,1,"50% Off Discount Coupon"
D994-1658,1,"50% Off Discount Coupon"
K873-0387,1,"50% Off Discount Coupon"
M347-7264,1,"50% Off Discount Coupon"
A841-8809,1,"50% Off Discount Coupon"
X600-6893,1,"50% Off Discount Coupon"
R442-9380,1,"50% Off Discount Coupon"
Y601-7874,1,"50% Off Discount Coupon"
K923-6835,1,"50% Off Discount Coupon"
U728-1518,1,"50% Off Discount Coupon"
Y040-0673,1,"50% Off Discount Coupon"
Y905-5301,1,"50% Off Discount Coupon"
P109-3081,1,"50% Off Discount Coupon"
Y558-6250,1,"50% Off Discount Coupon"
A173-1163,1,"50% Off Discount Coupon"
R661-3620,1,"50% Off Discount Coupon"
W480-3004,1,"50% Off Discount Coupon"
N217-6165,1,"50% Off Discount Coupon"
X778-5912,1,"50% Off Discount Coupon"
V603-2946,1,"50% Off Discount Coupon"
V684-0111,1,"50% Off Discount Coupon"
G341-2281,1,"50% Off Discount Coupon"
T205-4859,1,"50% Off Discount Coupon"
H601-4618,1,"50% Off Discount Coupon"
Y501-7142,1,"50% Off Discount Coupon"
X653-0068,1,"50% Off Discount Coupon"
A036-7477,1,"50% Off Discount Coupon"
C018-5574,1,"50% Off Discount Coupon"
A316-4768,1,"50% Off Discount Coupon"
F869-8829,1,"50% Off Discount Coupon"
T032-1598,1,"50% Off Discount Coupon"
X155-5843,1,"50% Off Discount Coupon"
G496-9557,1,"50% Off Discount Coupon"
U234-4374,1,"50% Off Discount Coupon"
X037-7608,1,"50% Off Discount Coupon"
Y447-9426,1,"50% Off Discount Coupon"
F410-7118,1,"50% Off Discount Coupon"
W189-9710,1,"50% Off Discount Coupon"
U714-8900,1,"50% Off Discount Coupon"
K003-5472,1,"50% Off Discount Coupon"
